# _root_ " Ko ste bili vi mladi , smo bili mi vsi še na drevesih , " je rekel gostilničar in namignil drugim gostom .
#goldHeads=9,9,4,2,4,4,2,9,18,9,10,14,9,13,9,9,18,20,18,0,20,23,21,0,
#predictedHeads=2,0,4,2,2,2,2,9,2,2,2,2,2,2,2,2,18,2,2,2,2,2,2,0,
(3,21),-0.754025 # DEPENDENCYPART_ARC
(3,22),-0.141499 # DEPENDENCYPART_ARC
(3,23),-0.273835 # DEPENDENCYPART_ARC
(3,24),-0.230708 # DEPENDENCYPART_ARC
(4,1),-0.0155657 # DEPENDENCYPART_ARC
(4,2),-0.0588056 # DEPENDENCYPART_ARC
(4,3),0.898141 # DEPENDENCYPART_ARC
(4,5),0.124488 # DEPENDENCYPART_ARC
(4,6),-0.24021 # DEPENDENCYPART_ARC
(4,7),-0.0210655 # DEPENDENCYPART_ARC
(4,8),0.0673659 # DEPENDENCYPART_ARC
(4,9),-0.605317 # DEPENDENCYPART_ARC
(4,10),0.011296 # DEPENDENCYPART_ARC
(4,11),-0.0069888 # DEPENDENCYPART_ARC
(4,12),-0.0696654 # DEPENDENCYPART_ARC
(4,13),-0.0419409 # DEPENDENCYPART_ARC
(4,14),-0.157966 # DEPENDENCYPART_ARC
(4,15),-0.127638 # DEPENDENCYPART_ARC
(4,16),-0.125998 # DEPENDENCYPART_ARC
(4,17),0.103858 # DEPENDENCYPART_ARC
(4,18),-0.756622 # DEPENDENCYPART_ARC
(4,19),-0.168804 # DEPENDENCYPART_ARC
(4,20),-0.143062 # DEPENDENCYPART_ARC
(4,21),-0.776956 # DEPENDENCYPART_ARC
(4,22),-0.0686554 # DEPENDENCYPART_ARC
(4,23),-0.25554 # DEPENDENCYPART_ARC
(4,24),-0.198159 # DEPENDENCYPART_ARC
(5,1),-0.0371204 # DEPENDENCYPART_ARC
(5,2),-0.0462373 # DEPENDENCYPART_ARC
(5,3),-0.017776 # DEPENDENCYPART_ARC
(5,4),0.0181247 # DEPENDENCYPART_ARC
(5,6),0.047874 # DEPENDENCYPART_ARC
(5,7),0.0359961 # DEPENDENCYPART_ARC
(5,8),-0.0109311 # DEPENDENCYPART_ARC
(5,9),-0.0356108 # DEPENDENCYPART_ARC
(5,10),-0.0368502 # DEPENDENCYPART_ARC
(5,11),-0.0465248 # DEPENDENCYPART_ARC
(5,12),-0.0403213 # DEPENDENCYPART_ARC
(5,13),-0.0333012 # DEPENDENCYPART_ARC
(5,14),-0.0490283 # DEPENDENCYPART_ARC
(5,15),-0.0388572 # DEPENDENCYPART_ARC
(5,16),-0.0508279 # DEPENDENCYPART_ARC
(5,17),-0.0661111 # DEPENDENCYPART_ARC
(5,18),-0.066737 # DEPENDENCYPART_ARC
(5,19),-0.0407984 # DEPENDENCYPART_ARC
(5,20),-0.0377273 # DEPENDENCYPART_ARC
(5,21),-0.0651461 # DEPENDENCYPART_ARC
(5,22),-0.05091 # DEPENDENCYPART_ARC
(5,23),-0.0527989 # DEPENDENCYPART_ARC
(5,24),-0.0398493 # DEPENDENCYPART_ARC
(6,1),2.64259e-06 # DEPENDENCYPART_ARC
(6,2),-0.0340333 # DEPENDENCYPART_ARC
(6,3),-0.0375834 # DEPENDENCYPART_ARC
(6,4),-0.0651275 # DEPENDENCYPART_ARC
(6,5),0.0521006 # DEPENDENCYPART_ARC
(6,7),0.0362491 # DEPENDENCYPART_ARC
(6,8),0.0104148 # DEPENDENCYPART_ARC
(6,9),-0.0246878 # DEPENDENCYPART_ARC
(6,10),-0.105633 # DEPENDENCYPART_ARC
(6,11),-0.104802 # DEPENDENCYPART_ARC
(6,12),-0.0501802 # DEPENDENCYPART_ARC
(6,13),-0.0270702 # DEPENDENCYPART_ARC
(6,14),-0.114268 # DEPENDENCYPART_ARC
(6,15),-0.0612476 # DEPENDENCYPART_ARC
(6,16),-0.068572 # DEPENDENCYPART_ARC
(6,17),-0.0664569 # DEPENDENCYPART_ARC
(6,18),-0.0728306 # DEPENDENCYPART_ARC
(6,19),-0.108168 # DEPENDENCYPART_ARC
(6,20),-0.0711549 # DEPENDENCYPART_ARC
(6,21),-0.0711516 # DEPENDENCYPART_ARC
(6,22),-0.129571 # DEPENDENCYPART_ARC
(6,23),-0.126259 # DEPENDENCYPART_ARC
(6,24),-0.0830678 # DEPENDENCYPART_ARC
(7,1),-0.000351655 # DEPENDENCYPART_ARC
(7,2),0.00954565 # DEPENDENCYPART_ARC
(7,3),0.00657945 # DEPENDENCYPART_ARC
(7,4),0.0231987 # DEPENDENCYPART_ARC
(7,5),0.0441486 # DEPENDENCYPART_ARC
(7,6),0.106298 # DEPENDENCYPART_ARC
(7,8),0.0461997 # DEPENDENCYPART_ARC
(7,9),0.0163943 # DEPENDENCYPART_ARC
(7,10),-0.00599272 # DEPENDENCYPART_ARC
(7,11),-0.0115047 # DEPENDENCYPART_ARC
(7,12),-0.00992284 # DEPENDENCYPART_ARC
(7,13),-0.023884 # DEPENDENCYPART_ARC
(7,14),-0.0455023 # DEPENDENCYPART_ARC
(7,15),-0.029478 # DEPENDENCYPART_ARC
(7,16),-0.0522623 # DEPENDENCYPART_ARC
(7,17),-0.0542939 # DEPENDENCYPART_ARC
(7,18),-0.0688699 # DEPENDENCYPART_ARC
(7,19),-0.0888767 # DEPENDENCYPART_ARC
(7,20),-0.0554727 # DEPENDENCYPART_ARC
(7,21),-0.066016 # DEPENDENCYPART_ARC
(7,22),-0.0608938 # DEPENDENCYPART_ARC
(7,23),-0.0900861 # DEPENDENCYPART_ARC
(7,24),-0.0735576 # DEPENDENCYPART_ARC
(8,1),-0.0526949 # DEPENDENCYPART_ARC
(8,2),-0.0972567 # DEPENDENCYPART_ARC
(8,3),0.104453 # DEPENDENCYPART_ARC
(8,4),-0.534279 # DEPENDENCYPART_ARC
(8,5),0.0607517 # DEPENDENCYPART_ARC
(8,6),-0.0557071 # DEPENDENCYPART_ARC
(8,7),0.0503869 # DEPENDENCYPART_ARC
(8,9),-0.45539 # DEPENDENCYPART_ARC
(8,10),0.013132 # DEPENDENCYPART_ARC
(8,11),-0.0150271 # DEPENDENCYPART_ARC
(8,12),-0.0269997 # DEPENDENCYPART_ARC
(8,13),-0.0738519 # DEPENDENCYPART_ARC
(8,14),-0.114152 # DEPENDENCYPART_ARC
(8,15),-0.0751691 # DEPENDENCYPART_ARC
(8,16),-0.0891293 # DEPENDENCYPART_ARC
(8,17),-0.0904628 # DEPENDENCYPART_ARC
(8,18),-0.673455 # DEPENDENCYPART_ARC
(8,19),-0.165376 # DEPENDENCYPART_ARC
(8,20),-0.136202 # DEPENDENCYPART_ARC
(8,21),-0.719222 # DEPENDENCYPART_ARC
(8,22),-0.130568 # DEPENDENCYPART_ARC
(8,23),-0.236663 # DEPENDENCYPART_ARC
(8,24),-0.185861 # DEPENDENCYPART_ARC
(9,1),-0.0419176 # DEPENDENCYPART_ARC
(9,2),-0.100971 # DEPENDENCYPART_ARC
(9,3),0.745362 # DEPENDENCYPART_ARC
(9,4),-0.110579 # DEPENDENCYPART_ARC
(9,5),0.162644 # DEPENDENCYPART_ARC
(9,6),-0.173994 # DEPENDENCYPART_ARC
(9,7),0.0215396 # DEPENDENCYPART_ARC
(9,8),0.897831 # DEPENDENCYPART_ARC
(9,10),0.126285 # DEPENDENCYPART_ARC
(9,11),0.0979708 # DEPENDENCYPART_ARC
(9,12),-0.000398462 # DEPENDENCYPART_ARC
(9,13),0.0362891 # DEPENDENCYPART_ARC
(9,14),-0.0479842 # DEPENDENCYPART_ARC
(9,15),-0.0487978 # DEPENDENCYPART_ARC
(9,16),-0.0695496 # DEPENDENCYPART_ARC
(9,17),0.17728 # DEPENDENCYPART_ARC
(9,18),-0.710351 # DEPENDENCYPART_ARC
(9,19),-0.122998 # DEPENDENCYPART_ARC
(9,20),-0.134677 # DEPENDENCYPART_ARC
(9,21),-0.76357 # DEPENDENCYPART_ARC
(9,22),-0.0721282 # DEPENDENCYPART_ARC
(9,23),-0.233131 # DEPENDENCYPART_ARC
(9,24),-0.176726 # DEPENDENCYPART_ARC
(10,1),-0.0669978 # DEPENDENCYPART_ARC
(10,2),-0.0710091 # DEPENDENCYPART_ARC
(10,3),-0.0645127 # DEPENDENCYPART_ARC
(10,4),-0.0722369 # DEPENDENCYPART_ARC
(10,5),-0.0411624 # DEPENDENCYPART_ARC
(10,6),-0.0457922 # DEPENDENCYPART_ARC
(10,7),-0.0313876 # DEPENDENCYPART_ARC
(10,8),-0.00832844 # DEPENDENCYPART_ARC
(10,9),0.0275722 # DEPENDENCYPART_ARC
(10,11),0.0408656 # DEPENDENCYPART_ARC
(10,12),0.0355935 # DEPENDENCYPART_ARC
(10,13),0.0235218 # DEPENDENCYPART_ARC
(10,14),0.0104613 # DEPENDENCYPART_ARC
(10,15),0.0107044 # DEPENDENCYPART_ARC
(10,16),-0.0197339 # DEPENDENCYPART_ARC
(10,17),-0.0424051 # DEPENDENCYPART_ARC
(10,18),-0.0573392 # DEPENDENCYPART_ARC
(10,19),-0.037285 # DEPENDENCYPART_ARC
(10,20),-0.0395105 # DEPENDENCYPART_ARC
(10,21),-0.0805283 # DEPENDENCYPART_ARC
(10,22),-0.0640775 # DEPENDENCYPART_ARC
(10,23),-0.0642118 # DEPENDENCYPART_ARC
(10,24),-0.0529797 # DEPENDENCYPART_ARC
(11,1),-0.0526946 # DEPENDENCYPART_ARC
(11,2),-0.0585391 # DEPENDENCYPART_ARC
(11,3),-0.054927 # DEPENDENCYPART_ARC
(11,4),-0.0568728 # DEPENDENCYPART_ARC
(11,5),-0.0323261 # DEPENDENCYPART_ARC
(11,6),0.0212564 # DEPENDENCYPART_ARC
(11,7),-0.0122963 # DEPENDENCYPART_ARC
(11,8),-0.0169607 # DEPENDENCYPART_ARC
(11,9),0.0223658 # DEPENDENCYPART_ARC
(11,10),0.0614787 # DEPENDENCYPART_ARC
(11,12),0.0545728 # DEPENDENCYPART_ARC
(11,13),0.0457053 # DEPENDENCYPART_ARC
(11,14),0.0207186 # DEPENDENCYPART_ARC
(11,15),0.0180422 # DEPENDENCYPART_ARC
(11,16),-0.00491803 # DEPENDENCYPART_ARC
(11,17),-0.0437931 # DEPENDENCYPART_ARC
(11,18),-0.070127 # DEPENDENCYPART_ARC
(11,19),-0.0314472 # DEPENDENCYPART_ARC
(11,20),-0.0300965 # DEPENDENCYPART_ARC
(11,21),-0.0740021 # DEPENDENCYPART_ARC
(11,22),-0.057226 # DEPENDENCYPART_ARC
(11,23),-0.0621854 # DEPENDENCYPART_ARC
(11,24),-0.0439619 # DEPENDENCYPART_ARC
(12,1),-0.0559408 # DEPENDENCYPART_ARC
(12,2),-0.0519696 # DEPENDENCYPART_ARC
(12,3),-0.0563989 # DEPENDENCYPART_ARC
(12,4),-0.0593986 # DEPENDENCYPART_ARC
(12,5),-0.0505697 # DEPENDENCYPART_ARC
(12,6),-0.0554576 # DEPENDENCYPART_ARC
(12,7),-0.00790617 # DEPENDENCYPART_ARC
(12,8),-0.0161851 # DEPENDENCYPART_ARC
(12,9),0.00162208 # DEPENDENCYPART_ARC
(12,10),0.0226645 # DEPENDENCYPART_ARC
(12,11),0.0411843 # DEPENDENCYPART_ARC
(12,13),0.0510481 # DEPENDENCYPART_ARC
(12,14),0.038388 # DEPENDENCYPART_ARC
(12,15),0.0183994 # DEPENDENCYPART_ARC
(12,16),-0.00915909 # DEPENDENCYPART_ARC
(12,17),-0.0122641 # DEPENDENCYPART_ARC
(12,18),-0.044913 # DEPENDENCYPART_ARC
(12,19),-0.0586295 # DEPENDENCYPART_ARC
(12,20),-0.0354418 # DEPENDENCYPART_ARC
(12,21),-0.0498812 # DEPENDENCYPART_ARC
(12,22),-0.0437522 # DEPENDENCYPART_ARC
(12,23),-0.0706851 # DEPENDENCYPART_ARC
(12,24),-0.0507375 # DEPENDENCYPART_ARC
(13,1),-0.0707996 # DEPENDENCYPART_ARC
(13,2),-0.0690297 # DEPENDENCYPART_ARC
(13,3),-0.145718 # DEPENDENCYPART_ARC
(13,4),-0.172123 # DEPENDENCYPART_ARC
(13,5),-0.0640306 # DEPENDENCYPART_ARC
(13,6),-0.112616 # DEPENDENCYPART_ARC
(13,7),-0.0421971 # DEPENDENCYPART_ARC
(13,8),-0.104385 # DEPENDENCYPART_ARC
(13,9),-0.110546 # DEPENDENCYPART_ARC
(13,10),-0.00614091 # DEPENDENCYPART_ARC
(13,11),0.010391 # DEPENDENCYPART_ARC
(13,12),0.0307497 # DEPENDENCYPART_ARC
(13,14),0.191881 # DEPENDENCYPART_ARC
(13,15),0.013603 # DEPENDENCYPART_ARC
(13,16),-0.02987 # DEPENDENCYPART_ARC
(13,17),-0.0941775 # DEPENDENCYPART_ARC
(13,18),-0.170054 # DEPENDENCYPART_ARC
(13,19),-0.0498841 # DEPENDENCYPART_ARC
(13,20),-0.0396107 # DEPENDENCYPART_ARC
(13,21),-0.195226 # DEPENDENCYPART_ARC
(13,22),0.0215535 # DEPENDENCYPART_ARC
(13,23),0.0223826 # DEPENDENCYPART_ARC
(13,24),-0.152781 # DEPENDENCYPART_ARC
(14,1),-0.0887859 # DEPENDENCYPART_ARC
(14,2),-0.106697 # DEPENDENCYPART_ARC
(14,3),0.0343413 # DEPENDENCYPART_ARC
(14,4),-0.0115228 # DEPENDENCYPART_ARC
(14,5),-0.0188718 # DEPENDENCYPART_ARC
(14,6),0.204174 # DEPENDENCYPART_ARC
(14,7),-0.037885 # DEPENDENCYPART_ARC
(14,8),0.0673927 # DEPENDENCYPART_ARC
(14,9),0.056037 # DEPENDENCYPART_ARC
(14,10),0.0488694 # DEPENDENCYPART_ARC
(14,11),0.0398949 # DEPENDENCYPART_ARC
(14,12),0.0368926 # DEPENDENCYPART_ARC
(14,13),0.00911749 # DEPENDENCYPART_ARC
(14,15),0.0301848 # DEPENDENCYPART_ARC
(14,16),-0.00182966 # DEPENDENCYPART_ARC
(14,17),-0.018438 # DEPENDENCYPART_ARC
(14,18),-0.0775509 # DEPENDENCYPART_ARC
(14,19),-0.027285 # DEPENDENCYPART_ARC
(14,20),-0.028989 # DEPENDENCYPART_ARC
(14,21),-0.101725 # DEPENDENCYPART_ARC
(14,22),-0.0682798 # DEPENDENCYPART_ARC
(14,23),-0.107527 # DEPENDENCYPART_ARC
(14,24),-0.0663005 # DEPENDENCYPART_ARC
(15,1),-0.0405036 # DEPENDENCYPART_ARC
(15,2),-0.0460648 # DEPENDENCYPART_ARC
(15,3),-0.0459513 # DEPENDENCYPART_ARC
(15,4),-0.0469337 # DEPENDENCYPART_ARC
(15,5),-0.0407896 # DEPENDENCYPART_ARC
(15,6),-0.0162515 # DEPENDENCYPART_ARC
(15,7),-0.00818812 # DEPENDENCYPART_ARC
(15,8),-0.013811 # DEPENDENCYPART_ARC
(15,9),0.00465565 # DEPENDENCYPART_ARC
(15,10),0.020024 # DEPENDENCYPART_ARC
(15,11),0.0197765 # DEPENDENCYPART_ARC
(15,12),0.022296 # DEPENDENCYPART_ARC
(15,13),0.029417 # DEPENDENCYPART_ARC
(15,14),0.0546163 # DEPENDENCYPART_ARC
(15,16),0.0583045 # DEPENDENCYPART_ARC
(15,17),0.0322112 # DEPENDENCYPART_ARC
(15,18),-0.00358819 # DEPENDENCYPART_ARC
(15,19),-0.021012 # DEPENDENCYPART_ARC
(15,20),-0.00989716 # DEPENDENCYPART_ARC
(15,21),-0.0299362 # DEPENDENCYPART_ARC
(15,22),-0.0270375 # DEPENDENCYPART_ARC
(15,23),-0.0408426 # DEPENDENCYPART_ARC
(15,24),-0.0364337 # DEPENDENCYPART_ARC
(16,1),-0.0330163 # DEPENDENCYPART_ARC
(16,2),-0.0351022 # DEPENDENCYPART_ARC
(16,3),-0.0402461 # DEPENDENCYPART_ARC
(16,4),-0.0421795 # DEPENDENCYPART_ARC
(16,5),-0.0377565 # DEPENDENCYPART_ARC
(16,6),-0.0147728 # DEPENDENCYPART_ARC
(16,7),-0.0396634 # DEPENDENCYPART_ARC
(16,8),-0.048131 # DEPENDENCYPART_ARC
(16,9),-0.0254777 # DEPENDENCYPART_ARC
(16,10),-0.0237659 # DEPENDENCYPART_ARC
(16,11),-0.0102128 # DEPENDENCYPART_ARC
(16,12),-0.00545754 # DEPENDENCYPART_ARC
(16,13),-0.0164082 # DEPENDENCYPART_ARC
(16,14),0.00621268 # DEPENDENCYPART_ARC
(16,15),0.0575464 # DEPENDENCYPART_ARC
(16,17),0.0408729 # DEPENDENCYPART_ARC
(16,18),0.0106188 # DEPENDENCYPART_ARC
(16,19),-0.0232474 # DEPENDENCYPART_ARC
(16,20),-0.012167 # DEPENDENCYPART_ARC
(16,21),-0.0180833 # DEPENDENCYPART_ARC
(16,22),-0.0284971 # DEPENDENCYPART_ARC
(16,23),-0.0571554 # DEPENDENCYPART_ARC
(16,24),-0.0329932 # DEPENDENCYPART_ARC
(17,1),-0.0809488 # DEPENDENCYPART_ARC
(17,2),-0.12619 # DEPENDENCYPART_ARC
(17,3),-0.0825616 # DEPENDENCYPART_ARC
(17,4),-0.773368 # DEPENDENCYPART_ARC
(17,5),-0.0300337 # DEPENDENCYPART_ARC
(17,6),-0.152761 # DEPENDENCYPART_ARC
(17,7),-0.0808089 # DEPENDENCYPART_ARC
(17,8),-0.0590278 # DEPENDENCYPART_ARC
(17,9),-0.703444 # DEPENDENCYPART_ARC
(17,10),-0.0160461 # DEPENDENCYPART_ARC
(17,11),0.00646649 # DEPENDENCYPART_ARC
(17,12),-0.0365603 # DEPENDENCYPART_ARC
(17,13),-0.027463 # DEPENDENCYPART_ARC
(17,14),-0.148972 # DEPENDENCYPART_ARC
(17,15),-0.0303734 # DEPENDENCYPART_ARC
(17,16),0.018184 # DEPENDENCYPART_ARC
(17,18),-0.598323 # DEPENDENCYPART_ARC
(17,19),-0.0149304 # DEPENDENCYPART_ARC
(17,20),-0.0659469 # DEPENDENCYPART_ARC
(17,21),-0.694507 # DEPENDENCYPART_ARC
(17,22),-0.0994555 # DEPENDENCYPART_ARC
(17,23),-0.158614 # DEPENDENCYPART_ARC
(17,24),-0.132296 # DEPENDENCYPART_ARC
(18,1),-0.0402425 # DEPENDENCYPART_ARC
(18,2),-0.113067 # DEPENDENCYPART_ARC
(18,3),0.725961 # DEPENDENCYPART_ARC
(18,4),-0.170331 # DEPENDENCYPART_ARC
(18,5),0.164018 # DEPENDENCYPART_ARC
(18,6),-0.213752 # DEPENDENCYPART_ARC
(18,7),-0.0458783 # DEPENDENCYPART_ARC
(18,8),0.742093 # DEPENDENCYPART_ARC
(18,9),-0.134181 # DEPENDENCYPART_ARC
(18,10),0.156532 # DEPENDENCYPART_ARC
(18,11),0.174665 # DEPENDENCYPART_ARC
(18,12),-0.0337943 # DEPENDENCYPART_ARC
(18,13),0.0364251 # DEPENDENCYPART_ARC
(18,14),-0.124855 # DEPENDENCYPART_ARC
(18,15),-0.0321262 # DEPENDENCYPART_ARC
(18,16),0.0200549 # DEPENDENCYPART_ARC
(18,17),1.06711 # DEPENDENCYPART_ARC
(18,19),0.0499322 # DEPENDENCYPART_ARC
(18,20),-0.00837715 # DEPENDENCYPART_ARC
(18,21),-0.676678 # DEPENDENCYPART_ARC
(18,22),-0.0172204 # DEPENDENCYPART_ARC
(18,23),-0.11329 # DEPENDENCYPART_ARC
(18,24),-0.108577 # DEPENDENCYPART_ARC
(19,1),-0.123192 # DEPENDENCYPART_ARC
(19,2),-0.140474 # DEPENDENCYPART_ARC
(19,3),-0.0547746 # DEPENDENCYPART_ARC
(19,4),-0.0987812 # DEPENDENCYPART_ARC
(19,5),-0.0548745 # DEPENDENCYPART_ARC
(19,6),0.0556299 # DEPENDENCYPART_ARC
(19,7),-0.13275 # DEPENDENCYPART_ARC
(19,8),-0.0577638 # DEPENDENCYPART_ARC
(19,9),-0.0945618 # DEPENDENCYPART_ARC
(19,10),-0.0489718 # DEPENDENCYPART_ARC
(19,11),-0.0496893 # DEPENDENCYPART_ARC
(19,12),-0.0683992 # DEPENDENCYPART_ARC
(19,13),-0.110712 # DEPENDENCYPART_ARC
(19,14),-0.0616361 # DEPENDENCYPART_ARC
(19,15),-0.0791715 # DEPENDENCYPART_ARC
(19,16),-0.0351335 # DEPENDENCYPART_ARC
(19,17),0.0398141 # DEPENDENCYPART_ARC
(19,18),0.00576666 # DEPENDENCYPART_ARC
(19,20),0.0501116 # DEPENDENCYPART_ARC
(19,21),-0.104258 # DEPENDENCYPART_ARC
(19,22),-0.0436594 # DEPENDENCYPART_ARC
(19,23),-0.0876278 # DEPENDENCYPART_ARC
(19,24),-0.0356865 # DEPENDENCYPART_ARC
(20,1),-0.007003 # DEPENDENCYPART_ARC
(20,2),0.00499027 # DEPENDENCYPART_ARC
(20,3),-0.0225521 # DEPENDENCYPART_ARC
(20,4),0.0208471 # DEPENDENCYPART_ARC
(20,5),-0.0208182 # DEPENDENCYPART_ARC
(20,6),-0.155469 # DEPENDENCYPART_ARC
(20,7),0.000390219 # DEPENDENCYPART_ARC
(20,8),-0.0276682 # DEPENDENCYPART_ARC
(20,9),0.0137295 # DEPENDENCYPART_ARC
(20,10),-0.0193196 # DEPENDENCYPART_ARC
(20,11),-0.021802 # DEPENDENCYPART_ARC
(20,12),-0.0163861 # DEPENDENCYPART_ARC
(20,13),0.0219784 # DEPENDENCYPART_ARC
(20,14),-0.0398599 # DEPENDENCYPART_ARC
(20,15),0.0169973 # DEPENDENCYPART_ARC
(20,16),0.037156 # DEPENDENCYPART_ARC
(20,17),-0.0104683 # DEPENDENCYPART_ARC
(20,18),0.10138 # DEPENDENCYPART_ARC
(20,19),0.0431948 # DEPENDENCYPART_ARC
(20,21),0.172316 # DEPENDENCYPART_ARC
(20,22),0.037219 # DEPENDENCYPART_ARC
(20,23),0.0493133 # DEPENDENCYPART_ARC
(20,24),-0.0329954 # DEPENDENCYPART_ARC
(21,1),-0.0192572 # DEPENDENCYPART_ARC
(21,2),-0.0876221 # DEPENDENCYPART_ARC
(21,3),0.719626 # DEPENDENCYPART_ARC
(21,4),-0.171184 # DEPENDENCYPART_ARC
(21,5),0.187743 # DEPENDENCYPART_ARC
(21,6),-0.190821 # DEPENDENCYPART_ARC
(21,7),-0.0230229 # DEPENDENCYPART_ARC
(21,8),0.730225 # DEPENDENCYPART_ARC
(21,9),-0.148906 # DEPENDENCYPART_ARC
(21,10),0.169463 # DEPENDENCYPART_ARC
(21,11),0.192908 # DEPENDENCYPART_ARC
(21,12),-0.00968386 # DEPENDENCYPART_ARC
(21,13),0.0420032 # DEPENDENCYPART_ARC
(21,14),-0.130699 # DEPENDENCYPART_ARC
