# _root_ Obrnil se je , mrmrajoč sam pri sebi , in se zadel ob Winstona .
#goldHeads=10,1,1,5,1,5,5,7,5,0,12,10,12,13,0,
#predictedHeads=0,1,12,1,1,1,1,1,10,1,1,10,1,1,0,
(6,7),0.101677 # DEPENDENCYPART_ARC
(6,8),-0.0312847 # DEPENDENCYPART_ARC
(6,9),0.00317864 # DEPENDENCYPART_ARC
(6,10),-0.0207156 # DEPENDENCYPART_ARC
(6,11),-0.0347099 # DEPENDENCYPART_ARC
(6,12),-0.0671818 # DEPENDENCYPART_ARC
(6,13),0.0141357 # DEPENDENCYPART_ARC
(6,14),-0.0915367 # DEPENDENCYPART_ARC
(6,15),-0.0612675 # DEPENDENCYPART_ARC
(7,1),-0.166276 # DEPENDENCYPART_ARC
(7,2),-0.0344342 # DEPENDENCYPART_ARC
(7,3),-0.0983287 # DEPENDENCYPART_ARC
(7,4),0.0070989 # DEPENDENCYPART_ARC
(7,5),-0.0302698 # DEPENDENCYPART_ARC
(7,6),-0.01175 # DEPENDENCYPART_ARC
(7,8),0.116757 # DEPENDENCYPART_ARC
(7,9),0.0448838 # DEPENDENCYPART_ARC
(7,10),0.0362665 # DEPENDENCYPART_ARC
(7,11),0.0216832 # DEPENDENCYPART_ARC
(7,12),-0.11947 # DEPENDENCYPART_ARC
(7,13),-0.0334612 # DEPENDENCYPART_ARC
(7,14),0.034982 # DEPENDENCYPART_ARC
(7,15),-0.0484248 # DEPENDENCYPART_ARC
(8,1),-0.0503081 # DEPENDENCYPART_ARC
(8,2),-0.0458031 # DEPENDENCYPART_ARC
(8,3),-0.0146441 # DEPENDENCYPART_ARC
(8,4),0.0166437 # DEPENDENCYPART_ARC
(8,5),0.012606 # DEPENDENCYPART_ARC
(8,6),0.0348188 # DEPENDENCYPART_ARC
(8,7),0.0482232 # DEPENDENCYPART_ARC
(8,9),0.0447614 # DEPENDENCYPART_ARC
(8,10),0.0155689 # DEPENDENCYPART_ARC
(8,11),-0.00288782 # DEPENDENCYPART_ARC
(8,12),-0.00986293 # DEPENDENCYPART_ARC
(8,13),-0.0242948 # DEPENDENCYPART_ARC
(8,14),-0.0512746 # DEPENDENCYPART_ARC
(8,15),-0.0387719 # DEPENDENCYPART_ARC
(9,1),-0.0494786 # DEPENDENCYPART_ARC
(9,2),-0.0436687 # DEPENDENCYPART_ARC
(9,3),-0.0353913 # DEPENDENCYPART_ARC
(9,4),0.0258846 # DEPENDENCYPART_ARC
(9,5),0.0425744 # DEPENDENCYPART_ARC
(9,6),0.0422023 # DEPENDENCYPART_ARC
(9,7),0.0204741 # DEPENDENCYPART_ARC
(9,8),0.0467786 # DEPENDENCYPART_ARC
(9,10),0.0495751 # DEPENDENCYPART_ARC
(9,11),0.0382821 # DEPENDENCYPART_ARC
(9,12),0.0237207 # DEPENDENCYPART_ARC
(9,13),0.00400993 # DEPENDENCYPART_ARC
(9,14),-0.00667708 # DEPENDENCYPART_ARC
(9,15),-0.022886 # DEPENDENCYPART_ARC
(10,1),0.0501034 # DEPENDENCYPART_ARC
(10,2),-0.00695285 # DEPENDENCYPART_ARC
(10,3),0.00283842 # DEPENDENCYPART_ARC
(10,4),0.0426878 # DEPENDENCYPART_ARC
(10,5),-0.126802 # DEPENDENCYPART_ARC
(10,6),-0.125701 # DEPENDENCYPART_ARC
(10,7),0.0484944 # DEPENDENCYPART_ARC
(10,8),0.0307921 # DEPENDENCYPART_ARC
(10,9),0.126798 # DEPENDENCYPART_ARC
(10,11),0.0698289 # DEPENDENCYPART_ARC
(10,12),0.182476 # DEPENDENCYPART_ARC
(10,13),0.0432599 # DEPENDENCYPART_ARC
(10,14),0.0763225 # DEPENDENCYPART_ARC
(10,15),-0.00742571 # DEPENDENCYPART_ARC
(11,1),-0.0598349 # DEPENDENCYPART_ARC
(11,2),-0.0515619 # DEPENDENCYPART_ARC
(11,3),-0.0380631 # DEPENDENCYPART_ARC
(11,4),-0.044454 # DEPENDENCYPART_ARC
(11,5),-0.0449216 # DEPENDENCYPART_ARC
(11,6),-0.0296593 # DEPENDENCYPART_ARC
(11,7),-0.0291064 # DEPENDENCYPART_ARC
(11,8),-0.0316969 # DEPENDENCYPART_ARC
(11,9),0.0121734 # DEPENDENCYPART_ARC
(11,10),0.0301603 # DEPENDENCYPART_ARC
(11,12),0.0464497 # DEPENDENCYPART_ARC
(11,13),0.0191756 # DEPENDENCYPART_ARC
(11,14),-0.00568521 # DEPENDENCYPART_ARC
(11,15),-0.00667542 # DEPENDENCYPART_ARC
(12,1),-0.211375 # DEPENDENCYPART_ARC
(12,2),-0.00333725 # DEPENDENCYPART_ARC
(12,3),0.934796 # DEPENDENCYPART_ARC
(12,4),-0.0122394 # DEPENDENCYPART_ARC
(12,5),-0.266032 # DEPENDENCYPART_ARC
(12,6),-0.268083 # DEPENDENCYPART_ARC
(12,7),0.0584102 # DEPENDENCYPART_ARC
(12,8),0.128526 # DEPENDENCYPART_ARC
(12,9),0.0335842 # DEPENDENCYPART_ARC
(12,10),-0.0125185 # DEPENDENCYPART_ARC
(12,11),0.0980494 # DEPENDENCYPART_ARC
(12,13),0.028787 # DEPENDENCYPART_ARC
(12,14),0.0291061 # DEPENDENCYPART_ARC
(12,15),-0.0344585 # DEPENDENCYPART_ARC
(13,1),-0.137093 # DEPENDENCYPART_ARC
(13,2),-0.0720187 # DEPENDENCYPART_ARC
(13,3),-0.114153 # DEPENDENCYPART_ARC
(13,4),-0.0835814 # DEPENDENCYPART_ARC
(13,5),-0.14291 # DEPENDENCYPART_ARC
(13,6),-0.140637 # DEPENDENCYPART_ARC
(13,7),-0.0786801 # DEPENDENCYPART_ARC
(13,8),-0.0647705 # DEPENDENCYPART_ARC
(13,9),-0.040263 # DEPENDENCYPART_ARC
(13,10),-0.042814 # DEPENDENCYPART_ARC
(13,11),-0.0217328 # DEPENDENCYPART_ARC
(13,12),-0.0428655 # DEPENDENCYPART_ARC
(13,14),0.256908 # DEPENDENCYPART_ARC
(13,15),0.0331909 # DEPENDENCYPART_ARC
(14,1),-0.0850407 # DEPENDENCYPART_ARC
(14,2),-0.0608259 # DEPENDENCYPART_ARC
(14,3),0.00237494 # DEPENDENCYPART_ARC
(14,4),-0.0956053 # DEPENDENCYPART_ARC
(14,5),0.227842 # DEPENDENCYPART_ARC
(14,6),0.230756 # DEPENDENCYPART_ARC
(14,7),-0.12986 # DEPENDENCYPART_ARC
(14,8),-0.0823323 # DEPENDENCYPART_ARC
(14,9),-0.0410682 # DEPENDENCYPART_ARC
(14,10),-0.108365 # DEPENDENCYPART_ARC
(14,11),-0.0177467 # DEPENDENCYPART_ARC
(14,12),0.00617672 # DEPENDENCYPART_ARC
(14,13),-0.0488405 # DEPENDENCYPART_ARC
(14,15),0.0213861 # DEPENDENCYPART_ARC
(15,1),-0.0810285 # DEPENDENCYPART_ARC
(15,2),-0.0794852 # DEPENDENCYPART_ARC
(15,3),-0.0873976 # DEPENDENCYPART_ARC
(15,4),-0.0880343 # DEPENDENCYPART_ARC
(15,5),-0.0731936 # DEPENDENCYPART_ARC
(15,6),-0.0694523 # DEPENDENCYPART_ARC
(15,7),-0.0933508 # DEPENDENCYPART_ARC
(15,8),-0.0861198 # DEPENDENCYPART_ARC
(15,9),-0.0528348 # DEPENDENCYPART_ARC
(15,10),-0.0448733 # DEPENDENCYPART_ARC
(15,11),-0.0447575 # DEPENDENCYPART_ARC
(15,12),-0.0268123 # DEPENDENCYPART_ARC
(15,13),-0.0138564 # DEPENDENCYPART_ARC
(15,14),0.00633878 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0253975 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0251535 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.053177 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0251535 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0251535 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0251535 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.0253975 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.053177 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.0251535 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.0253975 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.0251535 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.0251535 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.0262852 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.0796095 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0173382 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.030637 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.030637 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.0169263 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.0169263 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.0443477 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0540576 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0251535 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0251535 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0251535 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0256414 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.0540576 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.0251535 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.0256414 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0251535 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0251535 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.0274169 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.0804901 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0194221 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0194221 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.0194221 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.0194221 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.0382174 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.0194221 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.0194221 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0194221 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.0194221 # DEPENDENCYPART_SIBL
(0,4),(0,14),0.0194221 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.0552012 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0165144 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0165144 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0165144 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.0302251 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.0171019 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.0165144 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.0169824 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.0165144 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.0165144 # DEPENDENCYPART_SIBL
(0,5),(0,15),0.0439358 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.0165144 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.0165144 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.0302251 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.0171019 # DEPENDENCYPART_SIBL
(0,6),(0,11),0.0165144 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.0169824 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.0165144 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.0165144 # DEPENDENCYPART_SIBL
(0,6),(0,15),0.0439358 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0165144 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.0302251 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.0165144 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.0165144 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.0165144 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.0165144 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.0165144 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.0439358 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.030431 # DEPENDENCYPART_SIBL
(0,8),(0,10),0.0165144 # DEPENDENCYPART_SIBL
(0,8),(0,11),0.0165144 # DEPENDENCYPART_SIBL
(0,8),(0,12),0.0167204 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.0165144 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.0167204 # DEPENDENCYPART_SIBL
(0,8),(0,15),0.0441417 # DEPENDENCYPART_SIBL
(0,9),(0,10),0.0194221 # DEPENDENCYPART_SIBL
(0,9),(0,11),0.0194221 # DEPENDENCYPART_SIBL
(0,9),(0,12),0.0194221 # DEPENDENCYPART_SIBL
(0,9),(0,13),0.0194221 # DEPENDENCYPART_SIBL
(0,9),(0,14),0.0194221 # DEPENDENCYPART_SIBL
(0,9),(0,15),0.0552012 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.0217341 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.0217341 # DEPENDENCYPART_SIBL
(0,10),(0,13),0.0217341 # DEPENDENCYPART_SIBL
(0,10),(0,14),0.0217341 # DEPENDENCYPART_SIBL
(0,10),(0,15),0.0636519 # DEPENDENCYPART_SIBL
(0,11),(0,12),0.0169263 # DEPENDENCYPART_SIBL
(0,11),(0,13),0.0165144 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.0169263 # DEPENDENCYPART_SIBL
(0,11),(0,15),0.0443477 # DEPENDENCYPART_SIBL
(0,12),(0,13),0.0251535 # DEPENDENCYPART_SIBL
(0,12),(0,14),0.0262852 # DEPENDENCYPART_SIBL
(0,12),(0,15),0.0796095 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.0165144 # DEPENDENCYPART_SIBL
(0,13),(0,15),0.0439358 # DEPENDENCYPART_SIBL
(0,14),(0,15),0.0470337 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0207275 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0208334 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0188578 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0188578 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0185815 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.018238 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0208334 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0200004 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.018238 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0196978 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.0185815 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0201555 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0204719 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0319641 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0224969 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0224969 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0222206 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0228528 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0319641 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0236395 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0228528 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0225131 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0222206 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.0274975 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0356854 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0177397 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0177397 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0174634 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0171199 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0217913 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0188823 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0171199 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.0177558 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.0174634 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.0182136 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0221606 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0184336 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0181574 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0178138 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0195854 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0207511 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0178138 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.0193858 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.0181574 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.0189075 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0192239 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0181574 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0178138 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0195854 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0207511 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0178138 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.0193858 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.0181574 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.0189075 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0192239 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0167584 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0185299 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0185208 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0167584 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0173943 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.0171019 # DEPENDENCYPART_SIBL
(1,7),(1,14),0.0178521 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.0181684 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0198036 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0193825 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0176202 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.018668 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.0179637 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.0191258 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0194421 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0188823 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0171199 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0177558 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.0174634 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.0182136 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.0221606 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0167584 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.0173943 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.0171019 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.0178521 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0233881 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.0196978 # DEPENDENCYPART_SIBL
(1,11),(1,13),0.0185815 # DEPENDENCYPART_SIBL
(1,11),(1,14),0.0201555 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.0204719 # DEPENDENCYPART_SIBL
(1,12),(1,13),0.0197205 # DEPENDENCYPART_SIBL
(1,12),(1,14),0.022734 # DEPENDENCYPART_SIBL
(1,12),(1,15),0.0314241 # DEPENDENCYPART_SIBL
(1,13),(1,14),0.0178521 # DEPENDENCYPART_SIBL
(1,13),(1,15),0.0181684 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.0216664 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0526153 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0487495 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0503078 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0503078 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.051725 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0487495 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0487495 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0517373 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0487495 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0526153 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.051725 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0527582 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0487495 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0230687 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0165144 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0165144 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0165144 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0170023 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0230687 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0165144 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0170023 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0165144 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0165144 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0187778 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0271515 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0165144 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0165144 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0165144 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0165144 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0186913 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0165144 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0165144 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0165144 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0165144 # DEPENDENCYPART_SIBL
