# _root_ Igra s puščicami , ki so jih metali na drugem koncu sobe , je za celih trideset sekund prenehala .
#goldHeads=19,1,2,5,3,8,8,5,8,11,9,11,5,19,19,18,15,17,0,0,
#predictedHeads=5,5,5,5,0,8,5,5,5,5,5,5,5,19,5,5,5,5,5,0,
(2,14),-0.085862 # DEPENDENCYPART_ARC
(2,15),-0.0454787 # DEPENDENCYPART_ARC
(2,16),-0.140406 # DEPENDENCYPART_ARC
(2,17),-0.000312061 # DEPENDENCYPART_ARC
(2,18),0.0882109 # DEPENDENCYPART_ARC
(2,19),-0.117093 # DEPENDENCYPART_ARC
(2,20),-0.104694 # DEPENDENCYPART_ARC
(3,1),0.0384395 # DEPENDENCYPART_ARC
(3,2),0.00077075 # DEPENDENCYPART_ARC
(3,4),0.0332652 # DEPENDENCYPART_ARC
(3,5),0.0389962 # DEPENDENCYPART_ARC
(3,6),-0.0113572 # DEPENDENCYPART_ARC
(3,7),-0.046727 # DEPENDENCYPART_ARC
(3,8),-0.0571074 # DEPENDENCYPART_ARC
(3,9),-0.0428042 # DEPENDENCYPART_ARC
(3,10),-0.0621015 # DEPENDENCYPART_ARC
(3,11),-0.0677575 # DEPENDENCYPART_ARC
(3,12),-0.00138763 # DEPENDENCYPART_ARC
(3,13),-0.0565122 # DEPENDENCYPART_ARC
(3,14),-0.075905 # DEPENDENCYPART_ARC
(3,15),-0.0346496 # DEPENDENCYPART_ARC
(3,16),-0.103849 # DEPENDENCYPART_ARC
(3,17),-0.087062 # DEPENDENCYPART_ARC
(3,18),-0.0538531 # DEPENDENCYPART_ARC
(3,19),-0.10136 # DEPENDENCYPART_ARC
(3,20),-0.0728056 # DEPENDENCYPART_ARC
(4,1),0.0115668 # DEPENDENCYPART_ARC
(4,2),0.0222257 # DEPENDENCYPART_ARC
(4,3),0.0479468 # DEPENDENCYPART_ARC
(4,5),0.0529511 # DEPENDENCYPART_ARC
(4,6),0.0487411 # DEPENDENCYPART_ARC
(4,7),0.0145024 # DEPENDENCYPART_ARC
(4,8),0.00892128 # DEPENDENCYPART_ARC
(4,9),0.00583454 # DEPENDENCYPART_ARC
(4,10),-0.0106319 # DEPENDENCYPART_ARC
(4,11),-0.0284986 # DEPENDENCYPART_ARC
(4,12),-0.025729 # DEPENDENCYPART_ARC
(4,13),-0.0168028 # DEPENDENCYPART_ARC
(4,14),-0.0341364 # DEPENDENCYPART_ARC
(4,15),-0.0411871 # DEPENDENCYPART_ARC
(4,16),-0.0475699 # DEPENDENCYPART_ARC
(4,17),-0.0437934 # DEPENDENCYPART_ARC
(4,18),-0.0705396 # DEPENDENCYPART_ARC
(4,19),-0.0419144 # DEPENDENCYPART_ARC
(4,20),-0.0543813 # DEPENDENCYPART_ARC
(5,1),3.01703e-05 # DEPENDENCYPART_ARC
(5,2),0.0484632 # DEPENDENCYPART_ARC
(5,3),0.0128395 # DEPENDENCYPART_ARC
(5,4),0.151303 # DEPENDENCYPART_ARC
(5,6),0.146561 # DEPENDENCYPART_ARC
(5,7),0.0417055 # DEPENDENCYPART_ARC
(5,8),0.124691 # DEPENDENCYPART_ARC
(5,9),0.0142848 # DEPENDENCYPART_ARC
(5,10),0.0126349 # DEPENDENCYPART_ARC
(5,11),0.00857784 # DEPENDENCYPART_ARC
(5,12),-0.015591 # DEPENDENCYPART_ARC
(5,13),-0.0179823 # DEPENDENCYPART_ARC
(5,14),0.0254019 # DEPENDENCYPART_ARC
(5,15),-0.0253865 # DEPENDENCYPART_ARC
(5,16),-0.126514 # DEPENDENCYPART_ARC
(5,17),-0.0533839 # DEPENDENCYPART_ARC
(5,18),-0.0626739 # DEPENDENCYPART_ARC
(5,19),0.0318263 # DEPENDENCYPART_ARC
(5,20),-0.0663548 # DEPENDENCYPART_ARC
(6,1),-0.0560783 # DEPENDENCYPART_ARC
(6,2),-0.0566231 # DEPENDENCYPART_ARC
(6,3),-0.126651 # DEPENDENCYPART_ARC
(6,4),0.0192236 # DEPENDENCYPART_ARC
(6,5),-0.00626516 # DEPENDENCYPART_ARC
(6,7),-0.0132082 # DEPENDENCYPART_ARC
(6,8),-0.382688 # DEPENDENCYPART_ARC
(6,9),-0.0720601 # DEPENDENCYPART_ARC
(6,10),-0.0942212 # DEPENDENCYPART_ARC
(6,11),-0.110023 # DEPENDENCYPART_ARC
(6,12),-0.144257 # DEPENDENCYPART_ARC
(6,13),-0.0721363 # DEPENDENCYPART_ARC
(6,14),-0.134776 # DEPENDENCYPART_ARC
(6,15),-0.169829 # DEPENDENCYPART_ARC
(6,16),-0.175588 # DEPENDENCYPART_ARC
(6,17),-0.0943172 # DEPENDENCYPART_ARC
(6,18),-0.232134 # DEPENDENCYPART_ARC
(6,19),-0.660942 # DEPENDENCYPART_ARC
(6,20),-0.171972 # DEPENDENCYPART_ARC
(7,1),-0.0772615 # DEPENDENCYPART_ARC
(7,2),-0.0726259 # DEPENDENCYPART_ARC
(7,3),-0.0476252 # DEPENDENCYPART_ARC
(7,4),-0.0350624 # DEPENDENCYPART_ARC
(7,5),-0.019918 # DEPENDENCYPART_ARC
(7,6),0.0470852 # DEPENDENCYPART_ARC
(7,8),0.045392 # DEPENDENCYPART_ARC
(7,9),0.0253164 # DEPENDENCYPART_ARC
(7,10),-0.0031886 # DEPENDENCYPART_ARC
(7,11),-0.0219076 # DEPENDENCYPART_ARC
(7,12),-0.0439908 # DEPENDENCYPART_ARC
(7,13),-0.0194901 # DEPENDENCYPART_ARC
(7,14),-0.0485387 # DEPENDENCYPART_ARC
(7,15),-0.033338 # DEPENDENCYPART_ARC
(7,16),-0.0511045 # DEPENDENCYPART_ARC
(7,17),-0.045135 # DEPENDENCYPART_ARC
(7,18),-0.116846 # DEPENDENCYPART_ARC
(7,19),-0.0663255 # DEPENDENCYPART_ARC
(7,20),-0.0530131 # DEPENDENCYPART_ARC
(8,1),0.0992956 # DEPENDENCYPART_ARC
(8,2),-0.0261126 # DEPENDENCYPART_ARC
(8,3),-0.00366683 # DEPENDENCYPART_ARC
(8,4),0.0195608 # DEPENDENCYPART_ARC
(8,5),-0.0396281 # DEPENDENCYPART_ARC
(8,6),1.13747 # DEPENDENCYPART_ARC
(8,7),0.142333 # DEPENDENCYPART_ARC
(8,9),0.0994665 # DEPENDENCYPART_ARC
(8,10),0.0346114 # DEPENDENCYPART_ARC
(8,11),-0.0404403 # DEPENDENCYPART_ARC
(8,12),-0.0615516 # DEPENDENCYPART_ARC
(8,13),-0.0282706 # DEPENDENCYPART_ARC
(8,14),0.216247 # DEPENDENCYPART_ARC
(8,15),-0.0936501 # DEPENDENCYPART_ARC
(8,16),-0.393782 # DEPENDENCYPART_ARC
(8,17),0.0858507 # DEPENDENCYPART_ARC
(8,18),-0.167262 # DEPENDENCYPART_ARC
(8,19),-0.559885 # DEPENDENCYPART_ARC
(8,20),-0.158249 # DEPENDENCYPART_ARC
(9,1),-0.106964 # DEPENDENCYPART_ARC
(9,2),-0.0757882 # DEPENDENCYPART_ARC
(9,3),-0.104447 # DEPENDENCYPART_ARC
(9,4),-0.0354147 # DEPENDENCYPART_ARC
(9,5),-0.0357708 # DEPENDENCYPART_ARC
(9,6),-0.120765 # DEPENDENCYPART_ARC
(9,7),-0.0212068 # DEPENDENCYPART_ARC
(9,8),-0.101475 # DEPENDENCYPART_ARC
(9,10),0.0927538 # DEPENDENCYPART_ARC
(9,11),0.120917 # DEPENDENCYPART_ARC
(9,12),0.0856832 # DEPENDENCYPART_ARC
(9,13),-0.0144103 # DEPENDENCYPART_ARC
(9,14),-0.0921815 # DEPENDENCYPART_ARC
(9,15),-0.0542308 # DEPENDENCYPART_ARC
(9,16),-0.16205 # DEPENDENCYPART_ARC
(9,17),-0.0121171 # DEPENDENCYPART_ARC
(9,18),0.0557215 # DEPENDENCYPART_ARC
(9,19),-0.180662 # DEPENDENCYPART_ARC
(9,20),-0.15319 # DEPENDENCYPART_ARC
(10,1),-0.0788245 # DEPENDENCYPART_ARC
(10,2),-0.0589356 # DEPENDENCYPART_ARC
(10,3),-0.0704412 # DEPENDENCYPART_ARC
(10,4),-0.0324996 # DEPENDENCYPART_ARC
(10,5),-0.0262154 # DEPENDENCYPART_ARC
(10,6),-0.00111491 # DEPENDENCYPART_ARC
(10,7),-0.0215008 # DEPENDENCYPART_ARC
(10,8),0.0324155 # DEPENDENCYPART_ARC
(10,9),0.03526 # DEPENDENCYPART_ARC
(10,11),-0.00753061 # DEPENDENCYPART_ARC
(10,12),-0.0236266 # DEPENDENCYPART_ARC
(10,13),0.00907827 # DEPENDENCYPART_ARC
(10,14),-0.0373756 # DEPENDENCYPART_ARC
(10,15),-0.02856 # DEPENDENCYPART_ARC
(10,16),-0.0732428 # DEPENDENCYPART_ARC
(10,17),-0.0637209 # DEPENDENCYPART_ARC
(10,18),-0.116361 # DEPENDENCYPART_ARC
(10,19),-0.0772863 # DEPENDENCYPART_ARC
(10,20),-0.0499108 # DEPENDENCYPART_ARC
(11,1),-0.0813389 # DEPENDENCYPART_ARC
(11,2),-0.118699 # DEPENDENCYPART_ARC
(11,3),-0.0951177 # DEPENDENCYPART_ARC
(11,4),-0.0769466 # DEPENDENCYPART_ARC
(11,5),-0.107257 # DEPENDENCYPART_ARC
(11,6),0.0193997 # DEPENDENCYPART_ARC
(11,7),0.00373121 # DEPENDENCYPART_ARC
(11,8),-0.0362773 # DEPENDENCYPART_ARC
(11,9),-0.0323721 # DEPENDENCYPART_ARC
(11,10),0.0624493 # DEPENDENCYPART_ARC
(11,12),0.0586556 # DEPENDENCYPART_ARC
(11,13),0.0205533 # DEPENDENCYPART_ARC
(11,14),-0.0532277 # DEPENDENCYPART_ARC
(11,15),-0.00806955 # DEPENDENCYPART_ARC
(11,16),-0.113146 # DEPENDENCYPART_ARC
(11,17),-0.0743682 # DEPENDENCYPART_ARC
(11,18),-0.0943152 # DEPENDENCYPART_ARC
(11,19),-0.131568 # DEPENDENCYPART_ARC
(11,20),-0.0604839 # DEPENDENCYPART_ARC
(12,1),-0.0700259 # DEPENDENCYPART_ARC
(12,2),-0.108503 # DEPENDENCYPART_ARC
(12,3),-0.0703912 # DEPENDENCYPART_ARC
(12,4),-0.0671009 # DEPENDENCYPART_ARC
(12,5),-0.084162 # DEPENDENCYPART_ARC
(12,6),0.0391473 # DEPENDENCYPART_ARC
(12,7),0.0182884 # DEPENDENCYPART_ARC
(12,8),-0.0100185 # DEPENDENCYPART_ARC
(12,9),-0.0451992 # DEPENDENCYPART_ARC
(12,10),0.0586347 # DEPENDENCYPART_ARC
(12,11),0.069805 # DEPENDENCYPART_ARC
(12,13),0.0351962 # DEPENDENCYPART_ARC
(12,14),-0.00941253 # DEPENDENCYPART_ARC
(12,15),0.00194179 # DEPENDENCYPART_ARC
(12,16),-0.0889761 # DEPENDENCYPART_ARC
(12,17),-0.0540244 # DEPENDENCYPART_ARC
(12,18),-0.0559422 # DEPENDENCYPART_ARC
(12,19),-0.106816 # DEPENDENCYPART_ARC
(12,20),-0.0548163 # DEPENDENCYPART_ARC
(13,1),-0.0480306 # DEPENDENCYPART_ARC
(13,2),-0.0497584 # DEPENDENCYPART_ARC
(13,3),-0.0431143 # DEPENDENCYPART_ARC
(13,4),-0.00632599 # DEPENDENCYPART_ARC
(13,5),-0.015287 # DEPENDENCYPART_ARC
(13,6),-0.0110758 # DEPENDENCYPART_ARC
(13,7),-0.0133112 # DEPENDENCYPART_ARC
(13,8),0.0224453 # DEPENDENCYPART_ARC
(13,9),0.0150516 # DEPENDENCYPART_ARC
(13,10),0.0167451 # DEPENDENCYPART_ARC
(13,11),0.0385947 # DEPENDENCYPART_ARC
(13,12),0.0564149 # DEPENDENCYPART_ARC
(13,14),0.0442383 # DEPENDENCYPART_ARC
(13,15),0.0176555 # DEPENDENCYPART_ARC
(13,16),0.0157723 # DEPENDENCYPART_ARC
(13,17),-0.00723672 # DEPENDENCYPART_ARC
(13,18),-0.0145561 # DEPENDENCYPART_ARC
(13,19),-0.0211377 # DEPENDENCYPART_ARC
(13,20),-0.0410948 # DEPENDENCYPART_ARC
(14,1),-0.133945 # DEPENDENCYPART_ARC
(14,2),-0.106907 # DEPENDENCYPART_ARC
(14,3),-0.19814 # DEPENDENCYPART_ARC
(14,4),-0.0783958 # DEPENDENCYPART_ARC
(14,5),-0.11634 # DEPENDENCYPART_ARC
(14,6),0.0394244 # DEPENDENCYPART_ARC
(14,7),-0.137789 # DEPENDENCYPART_ARC
(14,8),-0.617836 # DEPENDENCYPART_ARC
(14,9),-0.0208303 # DEPENDENCYPART_ARC
(14,10),-0.035124 # DEPENDENCYPART_ARC
(14,11),-0.109893 # DEPENDENCYPART_ARC
(14,12),-0.140388 # DEPENDENCYPART_ARC
(14,13),0.0317407 # DEPENDENCYPART_ARC
(14,15),-0.0551837 # DEPENDENCYPART_ARC
(14,16),-0.0760302 # DEPENDENCYPART_ARC
(14,17),-0.00746349 # DEPENDENCYPART_ARC
(14,18),-0.0781101 # DEPENDENCYPART_ARC
(14,19),-0.564465 # DEPENDENCYPART_ARC
(14,20),-0.0944459 # DEPENDENCYPART_ARC
(15,1),-0.108632 # DEPENDENCYPART_ARC
(15,2),-0.0842109 # DEPENDENCYPART_ARC
(15,3),-0.108519 # DEPENDENCYPART_ARC
(15,4),-0.104805 # DEPENDENCYPART_ARC
(15,5),-0.0915557 # DEPENDENCYPART_ARC
(15,6),-0.133741 # DEPENDENCYPART_ARC
(15,7),-0.0921026 # DEPENDENCYPART_ARC
(15,8),-0.161691 # DEPENDENCYPART_ARC
(15,9),-0.0926825 # DEPENDENCYPART_ARC
(15,10),-0.0802483 # DEPENDENCYPART_ARC
(15,11),-0.0980152 # DEPENDENCYPART_ARC
(15,12),-0.102919 # DEPENDENCYPART_ARC
(15,13),-0.0429321 # DEPENDENCYPART_ARC
(15,14),-0.0409858 # DEPENDENCYPART_ARC
(15,16),-0.0844048 # DEPENDENCYPART_ARC
(15,17),0.0855349 # DEPENDENCYPART_ARC
(15,18),0.213204 # DEPENDENCYPART_ARC
(15,19),-0.0929087 # DEPENDENCYPART_ARC
(15,20),-0.0355107 # DEPENDENCYPART_ARC
(16,1),-0.0405011 # DEPENDENCYPART_ARC
(16,2),-0.21029 # DEPENDENCYPART_ARC
(16,3),-0.0416432 # DEPENDENCYPART_ARC
(16,4),-0.06531 # DEPENDENCYPART_ARC
(16,5),-0.0948749 # DEPENDENCYPART_ARC
(16,6),-0.0675355 # DEPENDENCYPART_ARC
(16,7),-0.0540771 # DEPENDENCYPART_ARC
(16,8),-0.133717 # DEPENDENCYPART_ARC
(16,9),-0.193496 # DEPENDENCYPART_ARC
(16,10),-0.0607381 # DEPENDENCYPART_ARC
(16,11),-0.0341685 # DEPENDENCYPART_ARC
(16,12),-0.0338606 # DEPENDENCYPART_ARC
(16,13),-0.0188828 # DEPENDENCYPART_ARC
(16,14),0.010779 # DEPENDENCYPART_ARC
(16,15),-0.0191782 # DEPENDENCYPART_ARC
(16,17),0.0517989 # DEPENDENCYPART_ARC
(16,18),0.00263431 # DEPENDENCYPART_ARC
(16,19),0.00599196 # DEPENDENCYPART_ARC
(16,20),-0.0216854 # DEPENDENCYPART_ARC
(17,1),-0.0337644 # DEPENDENCYPART_ARC
(17,2),-0.0354183 # DEPENDENCYPART_ARC
(17,3),-0.0341402 # DEPENDENCYPART_ARC
(17,4),-0.0413237 # DEPENDENCYPART_ARC
(17,5),-0.0460989 # DEPENDENCYPART_ARC
(17,6),-0.0576078 # DEPENDENCYPART_ARC
(17,7),-0.0161811 # DEPENDENCYPART_ARC
(17,8),-0.0950048 # DEPENDENCYPART_ARC
(17,9),-0.045255 # DEPENDENCYPART_ARC
(17,10),-0.0252022 # DEPENDENCYPART_ARC
(17,11),-0.0423367 # DEPENDENCYPART_ARC
(17,12),-0.0253082 # DEPENDENCYPART_ARC
(17,13),0.0068006 # DEPENDENCYPART_ARC
(17,14),0.0126975 # DEPENDENCYPART_ARC
(17,15),0.0314841 # DEPENDENCYPART_ARC
(17,16),0.120413 # DEPENDENCYPART_ARC
(17,18),0.039955 # DEPENDENCYPART_ARC
(17,19),0.0350372 # DEPENDENCYPART_ARC
(17,20),0.000172142 # DEPENDENCYPART_ARC
(18,1),-0.0602358 # DEPENDENCYPART_ARC
(18,2),-0.117031 # DEPENDENCYPART_ARC
(18,3),-0.0703752 # DEPENDENCYPART_ARC
(18,4),-0.143207 # DEPENDENCYPART_ARC
(18,5),-0.124895 # DEPENDENCYPART_ARC
(18,6),0.0262751 # DEPENDENCYPART_ARC
(18,7),0.00344416 # DEPENDENCYPART_ARC
(18,8),-0.0601383 # DEPENDENCYPART_ARC
(18,9),-0.123576 # DEPENDENCYPART_ARC
(18,10),-0.0154329 # DEPENDENCYPART_ARC
(18,11),-0.0496917 # DEPENDENCYPART_ARC
(18,12),-0.0707042 # DEPENDENCYPART_ARC
(18,13),-0.0294332 # DEPENDENCYPART_ARC
(18,14),0.123604 # DEPENDENCYPART_ARC
(18,15),-0.0729196 # DEPENDENCYPART_ARC
(18,16),0.207914 # DEPENDENCYPART_ARC
(18,17),0.0709298 # DEPENDENCYPART_ARC
(18,19),0.00566429 # DEPENDENCYPART_ARC
(18,20),-0.0043561 # DEPENDENCYPART_ARC
(19,1),0.0778846 # DEPENDENCYPART_ARC
(19,2),-0.00380364 # DEPENDENCYPART_ARC
(19,3),-0.0553882 # DEPENDENCYPART_ARC
(19,4),-0.0185134 # DEPENDENCYPART_ARC
(19,5),-0.0672697 # DEPENDENCYPART_ARC
(19,6),1.03116 # DEPENDENCYPART_ARC
(19,7),0.0743909 # DEPENDENCYPART_ARC
(19,8),0.0868622 # DEPENDENCYPART_ARC
(19,9),0.0644307 # DEPENDENCYPART_ARC
(19,10),0.105371 # DEPENDENCYPART_ARC
(19,11),-0.0103984 # DEPENDENCYPART_ARC
(19,12),-0.0465792 # DEPENDENCYPART_ARC
(19,13),0.0172897 # DEPENDENCYPART_ARC
(19,14),1.1889 # DEPENDENCYPART_ARC
(19,15),0.0750192 # DEPENDENCYPART_ARC
(19,16),-0.084848 # DEPENDENCYPART_ARC
(19,17),0.0184429 # DEPENDENCYPART_ARC
(19,18),0.097244 # DEPENDENCYPART_ARC
(19,20),0.0192336 # DEPENDENCYPART_ARC
(20,1),-0.0913456 # DEPENDENCYPART_ARC
(20,2),-0.0927475 # DEPENDENCYPART_ARC
(20,3),-0.0936802 # DEPENDENCYPART_ARC
(20,4),-0.0949395 # DEPENDENCYPART_ARC
(20,5),-0.101385 # DEPENDENCYPART_ARC
(20,6),-0.101332 # DEPENDENCYPART_ARC
(20,7),-0.102056 # DEPENDENCYPART_ARC
(20,8),-0.105612 # DEPENDENCYPART_ARC
(20,9),-0.109081 # DEPENDENCYPART_ARC
(20,10),-0.099958 # DEPENDENCYPART_ARC
(20,11),-0.100043 # DEPENDENCYPART_ARC
(20,12),-0.102088 # DEPENDENCYPART_ARC
(20,13),-0.062903 # DEPENDENCYPART_ARC
(20,14),-0.0755404 # DEPENDENCYPART_ARC
(20,15),-0.0618117 # DEPENDENCYPART_ARC
(20,16),-0.0389989 # DEPENDENCYPART_ARC
(20,17),-0.0548028 # DEPENDENCYPART_ARC
(20,18),-0.0420865 # DEPENDENCYPART_ARC
(20,19),-0.000640082 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0322385 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0185651 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.0322385 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.018175 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,20),0.0470337 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0302251 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.0302251 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,17),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,18),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,19),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,20),0.0439358 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0322385 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0185651 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0172374 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0172374 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0172374 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.0172374 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.0172374 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.0172374 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0172374 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0322385 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.0172374 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.0172374 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.018175 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.0172374 # DEPENDENCYPART_SIBL
(0,3),(0,18),0.0172374 # DEPENDENCYPART_SIBL
(0,3),(0,19),0.0172374 # DEPENDENCYPART_SIBL
(0,3),(0,20),0.0470337 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0194221 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0194221 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.0194221 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.0194221 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.0194221 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.0194221 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.0194221 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0194221 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.0382174 # DEPENDENCYPART_SIBL
(0,4),(0,14),0.0194221 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.0194221 # DEPENDENCYPART_SIBL
(0,4),(0,16),0.0194221 # DEPENDENCYPART_SIBL
(0,4),(0,17),0.0194221 # DEPENDENCYPART_SIBL
(0,4),(0,18),0.0194221 # DEPENDENCYPART_SIBL
(0,4),(0,19),0.0194221 # DEPENDENCYPART_SIBL
(0,4),(0,20),0.0552012 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0194091 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0194091 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0194091 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.0194091 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.0194091 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.0194091 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.0194091 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.0374619 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.0194091 # DEPENDENCYPART_SIBL
(0,5),(0,15),0.0194091 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.0195619 # DEPENDENCYPART_SIBL
(0,5),(0,17),0.0194091 # DEPENDENCYPART_SIBL
(0,5),(0,18),0.0194091 # DEPENDENCYPART_SIBL
