# _root_ Gruča drugih , ki so stali naokoli s kozarci v rokah , je opazovala prizor .
#goldHeads=14,1,4,2,6,4,6,6,8,9,10,4,14,0,14,0,
#predictedHeads=4,4,4,0,6,4,4,4,4,4,4,4,14,4,4,0,
(4,5),0.145115 # DEPENDENCYPART_ARC
(4,6),0.151552 # DEPENDENCYPART_ARC
(4,7),-0.00347548 # DEPENDENCYPART_ARC
(4,8),0.0164104 # DEPENDENCYPART_ARC
(4,9),0.0272298 # DEPENDENCYPART_ARC
(4,10),-0.00342723 # DEPENDENCYPART_ARC
(4,11),-0.00489402 # DEPENDENCYPART_ARC
(4,12),-0.0181288 # DEPENDENCYPART_ARC
(4,13),0.0226515 # DEPENDENCYPART_ARC
(4,14),0.0591878 # DEPENDENCYPART_ARC
(4,15),-0.0312718 # DEPENDENCYPART_ARC
(4,16),-0.0651792 # DEPENDENCYPART_ARC
(5,1),-0.0587007 # DEPENDENCYPART_ARC
(5,2),-0.0176072 # DEPENDENCYPART_ARC
(5,3),0.0114265 # DEPENDENCYPART_ARC
(5,4),-0.0132865 # DEPENDENCYPART_ARC
(5,6),-0.499107 # DEPENDENCYPART_ARC
(5,7),0.0140529 # DEPENDENCYPART_ARC
(5,8),-0.035339 # DEPENDENCYPART_ARC
(5,9),-0.0831781 # DEPENDENCYPART_ARC
(5,10),-0.0936276 # DEPENDENCYPART_ARC
(5,11),-0.14097 # DEPENDENCYPART_ARC
(5,12),-0.0796149 # DEPENDENCYPART_ARC
(5,13),-0.148987 # DEPENDENCYPART_ARC
(5,14),-0.631656 # DEPENDENCYPART_ARC
(5,15),-0.16678 # DEPENDENCYPART_ARC
(5,16),-0.169524 # DEPENDENCYPART_ARC
(6,1),0.0822014 # DEPENDENCYPART_ARC
(6,2),0.0836282 # DEPENDENCYPART_ARC
(6,3),-0.00559563 # DEPENDENCYPART_ARC
(6,4),-0.0455243 # DEPENDENCYPART_ARC
(6,5),1.04798 # DEPENDENCYPART_ARC
(6,7),0.0784394 # DEPENDENCYPART_ARC
(6,8),0.118306 # DEPENDENCYPART_ARC
(6,9),-0.0335903 # DEPENDENCYPART_ARC
(6,10),0.0444961 # DEPENDENCYPART_ARC
(6,11),-0.0606462 # DEPENDENCYPART_ARC
(6,12),-0.0390061 # DEPENDENCYPART_ARC
(6,13),0.17803 # DEPENDENCYPART_ARC
(6,14),-0.5853 # DEPENDENCYPART_ARC
(6,15),-0.133007 # DEPENDENCYPART_ARC
(6,16),-0.126393 # DEPENDENCYPART_ARC
(7,1),-0.0720397 # DEPENDENCYPART_ARC
(7,2),-0.0518267 # DEPENDENCYPART_ARC
(7,3),-0.0247119 # DEPENDENCYPART_ARC
(7,4),-0.0452169 # DEPENDENCYPART_ARC
(7,5),-0.0227893 # DEPENDENCYPART_ARC
(7,6),0.0138006 # DEPENDENCYPART_ARC
(7,8),0.0594915 # DEPENDENCYPART_ARC
(7,9),0.042044 # DEPENDENCYPART_ARC
(7,10),0.031612 # DEPENDENCYPART_ARC
(7,11),0.0135726 # DEPENDENCYPART_ARC
(7,12),0.0154738 # DEPENDENCYPART_ARC
(7,13),-0.021982 # DEPENDENCYPART_ARC
(7,14),-0.0405541 # DEPENDENCYPART_ARC
(7,15),-0.0465958 # DEPENDENCYPART_ARC
(7,16),-0.0358491 # DEPENDENCYPART_ARC
(8,1),-0.0847439 # DEPENDENCYPART_ARC
(8,2),-0.0635669 # DEPENDENCYPART_ARC
(8,3),-0.0234954 # DEPENDENCYPART_ARC
(8,4),-0.0232232 # DEPENDENCYPART_ARC
(8,5),-0.0657039 # DEPENDENCYPART_ARC
(8,6),-0.0389692 # DEPENDENCYPART_ARC
(8,7),0.0289153 # DEPENDENCYPART_ARC
(8,9),0.266916 # DEPENDENCYPART_ARC
(8,10),0.0507631 # DEPENDENCYPART_ARC
(8,11),0.23521 # DEPENDENCYPART_ARC
(8,12),0.00918654 # DEPENDENCYPART_ARC
(8,13),-0.028737 # DEPENDENCYPART_ARC
(8,14),-0.0962649 # DEPENDENCYPART_ARC
(8,15),0.0764336 # DEPENDENCYPART_ARC
(8,16),-0.0724911 # DEPENDENCYPART_ARC
(9,1),-0.0739212 # DEPENDENCYPART_ARC
(9,2),-0.0266954 # DEPENDENCYPART_ARC
(9,3),-0.0732869 # DEPENDENCYPART_ARC
(9,4),-0.076579 # DEPENDENCYPART_ARC
(9,5),0.0561849 # DEPENDENCYPART_ARC
(9,6),0.0182265 # DEPENDENCYPART_ARC
(9,7),0.0213319 # DEPENDENCYPART_ARC
(9,8),-0.0146565 # DEPENDENCYPART_ARC
(9,10),0.0440927 # DEPENDENCYPART_ARC
(9,11),0.0210806 # DEPENDENCYPART_ARC
(9,12),-0.000938106 # DEPENDENCYPART_ARC
(9,13),-0.0405497 # DEPENDENCYPART_ARC
(9,14),-0.09427 # DEPENDENCYPART_ARC
(9,15),-0.124982 # DEPENDENCYPART_ARC
(9,16),-0.0651371 # DEPENDENCYPART_ARC
(10,1),-0.097923 # DEPENDENCYPART_ARC
(10,2),-0.0665136 # DEPENDENCYPART_ARC
(10,3),-0.0407287 # DEPENDENCYPART_ARC
(10,4),-0.0397079 # DEPENDENCYPART_ARC
(10,5),-0.107441 # DEPENDENCYPART_ARC
(10,6),-0.111911 # DEPENDENCYPART_ARC
(10,7),-0.0116347 # DEPENDENCYPART_ARC
(10,8),0.00364008 # DEPENDENCYPART_ARC
(10,9),0.00184775 # DEPENDENCYPART_ARC
(10,11),0.249289 # DEPENDENCYPART_ARC
(10,12),0.0387134 # DEPENDENCYPART_ARC
(10,13),-0.0603392 # DEPENDENCYPART_ARC
(10,14),-0.127866 # DEPENDENCYPART_ARC
(10,15),0.036176 # DEPENDENCYPART_ARC
(10,16),-0.0664046 # DEPENDENCYPART_ARC
(11,1),-0.052806 # DEPENDENCYPART_ARC
(11,2),-0.0283331 # DEPENDENCYPART_ARC
(11,3),-0.0682754 # DEPENDENCYPART_ARC
(11,4),-0.0761562 # DEPENDENCYPART_ARC
(11,5),0.0441227 # DEPENDENCYPART_ARC
(11,6),0.0271784 # DEPENDENCYPART_ARC
(11,7),0.0107658 # DEPENDENCYPART_ARC
(11,8),-0.0438558 # DEPENDENCYPART_ARC
(11,9),0.0407931 # DEPENDENCYPART_ARC
(11,10),-0.000772431 # DEPENDENCYPART_ARC
(11,12),0.030502 # DEPENDENCYPART_ARC
(11,13),0.0055421 # DEPENDENCYPART_ARC
(11,14),-0.0612294 # DEPENDENCYPART_ARC
(11,15),-0.127666 # DEPENDENCYPART_ARC
(11,16),-0.0534163 # DEPENDENCYPART_ARC
(12,1),-0.049353 # DEPENDENCYPART_ARC
(12,2),-0.0418729 # DEPENDENCYPART_ARC
(12,3),-0.00576841 # DEPENDENCYPART_ARC
(12,4),-0.0166068 # DEPENDENCYPART_ARC
(12,5),-0.0126605 # DEPENDENCYPART_ARC
(12,6),0.00375673 # DEPENDENCYPART_ARC
(12,7),0.00785672 # DEPENDENCYPART_ARC
(12,8),0.0147087 # DEPENDENCYPART_ARC
(12,9),0.0169329 # DEPENDENCYPART_ARC
(12,10),0.0283993 # DEPENDENCYPART_ARC
(12,11),0.0541204 # DEPENDENCYPART_ARC
(12,13),0.0438264 # DEPENDENCYPART_ARC
(12,14),0.0132467 # DEPENDENCYPART_ARC
(12,15),-0.0149719 # DEPENDENCYPART_ARC
(12,16),-0.0268883 # DEPENDENCYPART_ARC
(13,1),-0.146535 # DEPENDENCYPART_ARC
(13,2),-0.07178 # DEPENDENCYPART_ARC
(13,3),-0.0884296 # DEPENDENCYPART_ARC
(13,4),-0.123957 # DEPENDENCYPART_ARC
(13,5),0.0270461 # DEPENDENCYPART_ARC
(13,6),-0.713203 # DEPENDENCYPART_ARC
(13,7),-0.0285926 # DEPENDENCYPART_ARC
(13,8),-0.0778498 # DEPENDENCYPART_ARC
(13,9),-0.0937582 # DEPENDENCYPART_ARC
(13,10),-0.0437734 # DEPENDENCYPART_ARC
(13,11),-0.126362 # DEPENDENCYPART_ARC
(13,12),0.0219449 # DEPENDENCYPART_ARC
(13,14),-0.497828 # DEPENDENCYPART_ARC
(13,15),-0.00641806 # DEPENDENCYPART_ARC
(13,16),-0.0667727 # DEPENDENCYPART_ARC
(14,1),0.0501325 # DEPENDENCYPART_ARC
(14,2),0.0850014 # DEPENDENCYPART_ARC
(14,3),-0.0529668 # DEPENDENCYPART_ARC
(14,4),-0.102683 # DEPENDENCYPART_ARC
(14,5),1.02593 # DEPENDENCYPART_ARC
(14,6),-0.0125102 # DEPENDENCYPART_ARC
(14,7),0.0172227 # DEPENDENCYPART_ARC
(14,8),-0.0510016 # DEPENDENCYPART_ARC
(14,9),-0.0143027 # DEPENDENCYPART_ARC
(14,10),0.0300763 # DEPENDENCYPART_ARC
(14,11),-0.0472541 # DEPENDENCYPART_ARC
(14,12),0.0236513 # DEPENDENCYPART_ARC
(14,13),1.22545 # DEPENDENCYPART_ARC
(14,15),0.0829519 # DEPENDENCYPART_ARC
(14,16),-0.0189331 # DEPENDENCYPART_ARC
(15,1),-0.0939558 # DEPENDENCYPART_ARC
(15,2),-0.0729357 # DEPENDENCYPART_ARC
(15,3),-0.169887 # DEPENDENCYPART_ARC
(15,4),-0.179784 # DEPENDENCYPART_ARC
(15,5),-0.0314252 # DEPENDENCYPART_ARC
(15,6),-0.10422 # DEPENDENCYPART_ARC
(15,7),-0.102017 # DEPENDENCYPART_ARC
(15,8),-0.146963 # DEPENDENCYPART_ARC
(15,9),-0.0849356 # DEPENDENCYPART_ARC
(15,10),-0.12763 # DEPENDENCYPART_ARC
(15,11),-0.0829394 # DEPENDENCYPART_ARC
(15,12),-0.0563646 # DEPENDENCYPART_ARC
(15,13),0.0616617 # DEPENDENCYPART_ARC
(15,14),0.00695911 # DEPENDENCYPART_ARC
(15,16),0.0196195 # DEPENDENCYPART_ARC
(16,1),-0.0772154 # DEPENDENCYPART_ARC
(16,2),-0.0740375 # DEPENDENCYPART_ARC
(16,3),-0.0808062 # DEPENDENCYPART_ARC
(16,4),-0.086552 # DEPENDENCYPART_ARC
(16,5),-0.0870043 # DEPENDENCYPART_ARC
(16,6),-0.0838648 # DEPENDENCYPART_ARC
(16,7),-0.0934758 # DEPENDENCYPART_ARC
(16,8),-0.085711 # DEPENDENCYPART_ARC
(16,9),-0.0847125 # DEPENDENCYPART_ARC
(16,10),-0.0849884 # DEPENDENCYPART_ARC
(16,11),-0.0729913 # DEPENDENCYPART_ARC
(16,12),-0.0347695 # DEPENDENCYPART_ARC
(16,13),-0.0464872 # DEPENDENCYPART_ARC
(16,14),-0.0038044 # DEPENDENCYPART_ARC
(16,15),0.00741332 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0322385 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0185651 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0174348 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.0322385 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.0172374 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.0470337 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.030431 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0167204 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0167204 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.0167204 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.0165144 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.0167204 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.030431 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.0169263 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.0167204 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.0167204 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.0441417 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0194221 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0194221 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0194221 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0194221 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0194221 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.0194221 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.0194221 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.0194221 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0382174 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0194221 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.0194221 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.0194221 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.0552012 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0194091 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0194091 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.0194091 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.0194091 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.0194091 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.0194091 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.0194091 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0374619 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.0194091 # DEPENDENCYPART_SIBL
(0,4),(0,14),0.0194091 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.0194091 # DEPENDENCYPART_SIBL
(0,4),(0,16),0.0555146 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0251535 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.025272 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0251535 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.0262852 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.0251535 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.0262852 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.053177 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.0251535 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.0251535 # DEPENDENCYPART_SIBL
(0,5),(0,15),0.0262852 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.0796095 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.025272 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.0251535 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.0262852 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.0251535 # DEPENDENCYPART_SIBL
(0,6),(0,11),0.0262852 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.053177 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.0251535 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.0251535 # DEPENDENCYPART_SIBL
(0,6),(0,15),0.0262852 # DEPENDENCYPART_SIBL
(0,6),(0,16),0.0796095 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0171019 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.0165144 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.0171019 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.0165144 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.0302251 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.0167204 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.0167204 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.0165144 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.0439358 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.0165144 # DEPENDENCYPART_SIBL
(0,8),(0,10),0.0165144 # DEPENDENCYPART_SIBL
(0,8),(0,11),0.0165144 # DEPENDENCYPART_SIBL
(0,8),(0,12),0.0302251 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.0165144 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.0165144 # DEPENDENCYPART_SIBL
(0,8),(0,15),0.0165144 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.0439358 # DEPENDENCYPART_SIBL
(0,9),(0,10),0.0172374 # DEPENDENCYPART_SIBL
(0,9),(0,11),0.0172374 # DEPENDENCYPART_SIBL
(0,9),(0,12),0.0322385 # DEPENDENCYPART_SIBL
(0,9),(0,13),0.0172374 # DEPENDENCYPART_SIBL
(0,9),(0,14),0.0172374 # DEPENDENCYPART_SIBL
(0,9),(0,15),0.0172374 # DEPENDENCYPART_SIBL
(0,9),(0,16),0.0470337 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.0165144 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.0302251 # DEPENDENCYPART_SIBL
(0,10),(0,13),0.0165144 # DEPENDENCYPART_SIBL
(0,10),(0,14),0.0165144 # DEPENDENCYPART_SIBL
(0,10),(0,15),0.0165144 # DEPENDENCYPART_SIBL
(0,10),(0,16),0.0439358 # DEPENDENCYPART_SIBL
(0,11),(0,12),0.0322385 # DEPENDENCYPART_SIBL
(0,11),(0,13),0.0172374 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.0172374 # DEPENDENCYPART_SIBL
(0,11),(0,15),0.0172374 # DEPENDENCYPART_SIBL
(0,11),(0,16),0.0470337 # DEPENDENCYPART_SIBL
(0,12),(0,13),0.0194221 # DEPENDENCYPART_SIBL
(0,12),(0,14),0.0194221 # DEPENDENCYPART_SIBL
(0,12),(0,15),0.0194221 # DEPENDENCYPART_SIBL
(0,12),(0,16),0.0552012 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.0251535 # DEPENDENCYPART_SIBL
(0,13),(0,15),0.0274169 # DEPENDENCYPART_SIBL
(0,13),(0,16),0.0804901 # DEPENDENCYPART_SIBL
(0,14),(0,15),0.0262852 # DEPENDENCYPART_SIBL
(0,14),(0,16),0.0796095 # DEPENDENCYPART_SIBL
(0,15),(0,16),0.0470337 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0167204 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0165144 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0167204 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0167204 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0165144 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0165144 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0167204 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0165144 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.0167204 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0167204 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.0169263 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0167204 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0167204 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.0167204 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0165144 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0165144 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0165144 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0165144 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0165144 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0165144 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0165144 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0165144 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0186913 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0165144 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.0165144 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0165144 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.0197836 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0165144 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0165144 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0165144 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0165144 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0165144 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0165144 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0165144 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.0179618 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.0165144 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.0165144 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0165144 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.0194091 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0165144 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0166328 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0165144 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0176461 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0165144 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0176461 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.0221881 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.0165144 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.0165144 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0176461 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.0262709 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0166328 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0165144 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0176461 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0165144 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0176461 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.0221881 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.0165144 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.0165144 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0176461 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.0262709 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0171019 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0165144 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0171019 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0165144 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0165144 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.0167204 # DEPENDENCYPART_SIBL
(1,7),(1,14),0.0167204 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.0165144 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.0165144 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0165144 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0165144 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0165144 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.0165144 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.0165144 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.0165144 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0165144 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.0165144 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0165144 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0165144 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0170819 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.0165144 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.0165144 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.0165144 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.0174434 # DEPENDENCYPART_SIBL
