# _root_ " Ima se za gostilničarja , pa ne ve , kaj je polič . "
#goldHeads=7,7,2,2,4,7,0,9,7,12,12,9,12,7,7,
#predictedHeads=7,7,7,7,4,7,0,7,7,7,7,7,7,0,0,
(11,1),-0.0292078 # DEPENDENCYPART_ARC
(11,2),-0.0335803 # DEPENDENCYPART_ARC
(11,3),-0.027848 # DEPENDENCYPART_ARC
(11,4),-0.0259809 # DEPENDENCYPART_ARC
(11,5),-0.0406095 # DEPENDENCYPART_ARC
(11,6),-0.025033 # DEPENDENCYPART_ARC
(11,7),-0.0280144 # DEPENDENCYPART_ARC
(11,8),-0.0268359 # DEPENDENCYPART_ARC
(11,9),0.00990671 # DEPENDENCYPART_ARC
(11,10),0.0549086 # DEPENDENCYPART_ARC
(11,12),0.0393435 # DEPENDENCYPART_ARC
(11,13),0.0102262 # DEPENDENCYPART_ARC
(11,14),-0.00830037 # DEPENDENCYPART_ARC
(11,15),-0.0357975 # DEPENDENCYPART_ARC
(12,1),-0.0909894 # DEPENDENCYPART_ARC
(12,2),0.042543 # DEPENDENCYPART_ARC
(12,3),-0.11791 # DEPENDENCYPART_ARC
(12,4),-0.107368 # DEPENDENCYPART_ARC
(12,5),-0.255493 # DEPENDENCYPART_ARC
(12,6),-0.0982371 # DEPENDENCYPART_ARC
(12,7),-0.118716 # DEPENDENCYPART_ARC
(12,8),-0.0705831 # DEPENDENCYPART_ARC
(12,9),0.11033 # DEPENDENCYPART_ARC
(12,10),-0.00712244 # DEPENDENCYPART_ARC
(12,11),-0.0028263 # DEPENDENCYPART_ARC
(12,13),0.0296775 # DEPENDENCYPART_ARC
(12,14),-0.0153329 # DEPENDENCYPART_ARC
(12,15),-0.0592105 # DEPENDENCYPART_ARC
(13,1),-0.122007 # DEPENDENCYPART_ARC
(13,2),-0.0534598 # DEPENDENCYPART_ARC
(13,3),-0.0723776 # DEPENDENCYPART_ARC
(13,4),-0.145353 # DEPENDENCYPART_ARC
(13,5),-0.116647 # DEPENDENCYPART_ARC
(13,6),-0.1336 # DEPENDENCYPART_ARC
(13,7),-0.163904 # DEPENDENCYPART_ARC
(13,8),-0.0898572 # DEPENDENCYPART_ARC
(13,9),-0.032745 # DEPENDENCYPART_ARC
(13,10),-0.0530328 # DEPENDENCYPART_ARC
(13,11),-0.0172394 # DEPENDENCYPART_ARC
(13,12),0.0569032 # DEPENDENCYPART_ARC
(13,14),0.0113347 # DEPENDENCYPART_ARC
(13,15),-0.0207119 # DEPENDENCYPART_ARC
(14,1),-0.0476898 # DEPENDENCYPART_ARC
(14,2),-0.0528142 # DEPENDENCYPART_ARC
(14,3),-0.0505695 # DEPENDENCYPART_ARC
(14,4),-0.0485852 # DEPENDENCYPART_ARC
(14,5),-0.0481542 # DEPENDENCYPART_ARC
(14,6),-0.0524956 # DEPENDENCYPART_ARC
(14,7),-0.053697 # DEPENDENCYPART_ARC
(14,8),-0.0497567 # DEPENDENCYPART_ARC
(14,9),-0.043302 # DEPENDENCYPART_ARC
(14,10),-0.00877077 # DEPENDENCYPART_ARC
(14,11),-0.0190743 # DEPENDENCYPART_ARC
(14,12),0.0210956 # DEPENDENCYPART_ARC
(14,13),0.038218 # DEPENDENCYPART_ARC
(14,15),0.051534 # DEPENDENCYPART_ARC
(15,1),-0.0661903 # DEPENDENCYPART_ARC
(15,2),-0.0725788 # DEPENDENCYPART_ARC
(15,3),-0.0700205 # DEPENDENCYPART_ARC
(15,4),-0.0724491 # DEPENDENCYPART_ARC
(15,5),-0.0691782 # DEPENDENCYPART_ARC
(15,6),-0.0595364 # DEPENDENCYPART_ARC
(15,7),-0.0640095 # DEPENDENCYPART_ARC
(15,8),-0.055982 # DEPENDENCYPART_ARC
(15,9),-0.0679909 # DEPENDENCYPART_ARC
(15,10),-0.0557639 # DEPENDENCYPART_ARC
(15,11),-0.0623284 # DEPENDENCYPART_ARC
(15,12),-0.047397 # DEPENDENCYPART_ARC
(15,13),-0.0268951 # DEPENDENCYPART_ARC
(15,14),0.0268207 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0179683 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0179683 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0179683 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0179683 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0353057 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0179683 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.0179683 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0179683 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.0353057 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.0179683 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.0179683 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.0179683 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.0504742 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.0345827 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0253975 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0251535 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0262852 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.053177 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0251535 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.0251535 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.0251535 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.053177 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.0253975 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.0251535 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.0262852 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.0796095 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.0529402 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0165144 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0169263 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.030637 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0165144 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0165144 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.0169263 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.030637 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.0165144 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0173382 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0169263 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.0443477 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.030637 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0165144 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0302251 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.0165144 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.0165144 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.0165144 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.0302251 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.0165144 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0165144 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.0165144 # DEPENDENCYPART_SIBL
(0,4),(0,14),0.0439358 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.0302251 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0322385 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0187179 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0172374 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.0172374 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.0322385 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.0172374 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.0172374 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.0172374 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.0470337 # DEPENDENCYPART_SIBL
(0,5),(0,15),0.0322385 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.0194221 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.0194221 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.0194221 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.0382174 # DEPENDENCYPART_SIBL
(0,6),(0,11),0.0194221 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.0194221 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.0194221 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.0552012 # DEPENDENCYPART_SIBL
(0,6),(0,15),0.0378559 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0194091 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.0194091 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.0374619 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.0194091 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.0194091 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.0194091 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.0555146 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.0374619 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.0165144 # DEPENDENCYPART_SIBL
(0,8),(0,10),0.0302251 # DEPENDENCYPART_SIBL
(0,8),(0,11),0.0165144 # DEPENDENCYPART_SIBL
(0,8),(0,12),0.0165144 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.0165144 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.0439358 # DEPENDENCYPART_SIBL
(0,8),(0,15),0.0302251 # DEPENDENCYPART_SIBL
(0,9),(0,10),0.053177 # DEPENDENCYPART_SIBL
(0,9),(0,11),0.0253975 # DEPENDENCYPART_SIBL
(0,9),(0,12),0.0251535 # DEPENDENCYPART_SIBL
(0,9),(0,13),0.0262852 # DEPENDENCYPART_SIBL
(0,9),(0,14),0.0796095 # DEPENDENCYPART_SIBL
(0,9),(0,15),0.0529402 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.0194221 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.0194221 # DEPENDENCYPART_SIBL
(0,10),(0,13),0.0194221 # DEPENDENCYPART_SIBL
(0,10),(0,14),0.0552012 # DEPENDENCYPART_SIBL
(0,10),(0,15),0.0378559 # DEPENDENCYPART_SIBL
(0,11),(0,12),0.0169263 # DEPENDENCYPART_SIBL
(0,11),(0,13),0.0167204 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.0441417 # DEPENDENCYPART_SIBL
(0,11),(0,15),0.030431 # DEPENDENCYPART_SIBL
(0,12),(0,13),0.0274169 # DEPENDENCYPART_SIBL
(0,12),(0,14),0.0804901 # DEPENDENCYPART_SIBL
(0,12),(0,15),0.0538208 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.0470337 # DEPENDENCYPART_SIBL
(0,13),(0,15),0.0322385 # DEPENDENCYPART_SIBL
(0,14),(0,15),0.0342212 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0167584 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0165144 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0176461 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0221881 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0168199 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0165144 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0165144 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0221881 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.0167584 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0165144 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.0176461 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0262709 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0219513 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0165144 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0169263 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0169263 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0168199 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0165144 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0169263 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0169263 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0165144 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0173382 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0169263 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.0169263 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0169263 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0165144 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0165144 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0168199 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0165144 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0165144 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0165144 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0165144 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.0165144 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.0165144 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.0165144 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0165144 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0173874 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0189114 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0168199 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0168199 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0173874 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0168199 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.0168199 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.0168199 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.0177489 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0173874 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0168199 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0165144 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0165144 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0186913 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0165144 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.0165144 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.0165144 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.0197836 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0183298 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0168199 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0168199 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0182673 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0168199 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0168199 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.0168199 # DEPENDENCYPART_SIBL
(1,7),(1,14),0.0197146 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.0182673 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0165144 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0165144 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0165144 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.0165144 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.0165144 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.0165144 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0165144 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0221881 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0167584 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0165144 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.0176461 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.0262709 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.0219513 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0165144 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.0165144 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.0165144 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.0197836 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0183298 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.0169263 # DEPENDENCYPART_SIBL
(1,11),(1,13),0.0167204 # DEPENDENCYPART_SIBL
(1,11),(1,14),0.0167204 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.0167204 # DEPENDENCYPART_SIBL
(1,12),(1,13),0.0187778 # DEPENDENCYPART_SIBL
(1,12),(1,14),0.0271515 # DEPENDENCYPART_SIBL
(1,12),(1,15),0.0228319 # DEPENDENCYPART_SIBL
(1,13),(1,14),0.0177489 # DEPENDENCYPART_SIBL
(1,13),(1,15),0.0173874 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.0176029 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.052255 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0580487 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0573053 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0597019 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0560595 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0510193 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0558653 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0597019 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0516371 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0564831 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0573053 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0569348 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0594652 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0185815 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0201555 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0208334 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0200004 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0179941 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0196978 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0208334 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.018238 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0207275 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0201555 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0204719 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0204719 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0178521 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0185299 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0185208 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0165144 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0173943 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0185299 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0167584 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0176003 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0178521 # DEPENDENCYPART_SIBL
